text,label
can you enable bathroom lights right now,LIGHT_ON
please switch on light please,LIGHT_ON
could you turn off bathroom lights please,LIGHT_OFF
hey switch off led please,LIGHT_OFF
please power on bedroom lights for me,LIGHT_ON
hey deactivate bathroom lights,LIGHT_OFF
hey stop bedroom lamp please,LIGHT_OFF
could you start hall led please,LIGHT_ON
can you switch on bathroom lights,LIGHT_ON
turn off hall lights right now,LIGHT_OFF
can you switch off hall lamp right now,LIGHT_OFF
would you switch on kitchen light,LIGHT_ON
please stop bedroom light right now,LIGHT_OFF
can you turn on bathroom lights please,LIGHT_ON
please enable kitchen light,LIGHT_ON
could you stop bathroom lamp for me,LIGHT_OFF
hey switch on kitchen lamp,LIGHT_ON
could you turn off bedroom lights,LIGHT_OFF
would you turn on office led,LIGHT_ON
can you stop kitchen lamp please,LIGHT_OFF
hey power on hall light for me,LIGHT_ON
would you disable bedroom lamp please,LIGHT_OFF
could you switch on lights right now,LIGHT_ON
would you switch off hall lamp for me,LIGHT_OFF
would you switch on bathroom led please,LIGHT_ON
please activate bathroom lights for me,LIGHT_ON
please switch on hall lights please,LIGHT_ON
could you power off hall lamp for me,LIGHT_OFF
hey enable bedroom lights,LIGHT_ON
hey disable garage lamp please,LIGHT_OFF
would you power off lights right now,LIGHT_OFF
hey disable office lamp right now,LIGHT_OFF
would you turn off led,LIGHT_OFF
would you power on garage light,LIGHT_ON
would you power off lights for me,LIGHT_OFF
could you enable kitchen light,LIGHT_ON
would you stop bathroom lamp for me,LIGHT_OFF
would you turn off bathroom led,LIGHT_OFF
hey turn off garage led for me,LIGHT_OFF
can you power off hall lamp right now,LIGHT_OFF
hey power on bedroom light,LIGHT_ON
could you switch on lamp for me,LIGHT_ON
stop kitchen lamp right now,LIGHT_OFF
turn off bathroom lamp for me,LIGHT_OFF
can you power on kitchen lights right now,LIGHT_ON
can you switch off living room led right now,LIGHT_OFF
hey activate led,LIGHT_ON
hey turn off hall lights right now,LIGHT_OFF
switch on hall light please,LIGHT_ON
can you switch off bathroom lights,LIGHT_OFF
could you start hall lamp,LIGHT_ON
enable living room led please,LIGHT_ON
would you start bathroom light for me,LIGHT_ON
would you deactivate garage light right now,LIGHT_OFF
hey switch off office led please,LIGHT_OFF
please turn on hall led,LIGHT_ON
hey stop led for me,LIGHT_OFF
would you switch on garage lights right now,LIGHT_ON
can you start kitchen lights for me,LIGHT_ON
would you deactivate kitchen lamp,LIGHT_OFF
please power off hall lamp please,LIGHT_OFF
hey enable kitchen lights,LIGHT_ON
activate lights,LIGHT_ON
hey power on hall light,LIGHT_ON
deactivate kitchen lights right now,LIGHT_OFF
can you enable kitchen lamp right now,LIGHT_ON
can you switch off bathroom lamp,LIGHT_OFF
please turn off hall light please,LIGHT_OFF
can you switch off bathroom led,LIGHT_OFF
can you activate living room lamp please,LIGHT_ON
can you power off office light right now,LIGHT_OFF
would you power on bathroom led please,LIGHT_ON
could you switch off kitchen lamp for me,LIGHT_OFF
would you turn off light please,LIGHT_OFF
hey switch off garage led please,LIGHT_OFF
would you start hall lights right now,LIGHT_ON
would you turn on bathroom led,LIGHT_ON
can you deactivate bathroom light please,LIGHT_OFF
start bedroom lamp please,LIGHT_ON
please power on garage light right now,LIGHT_ON
could you disable bedroom led right now,LIGHT_OFF
can you power off lights for me,LIGHT_OFF
hey stop living room light,LIGHT_OFF
turn off living room lamp please,LIGHT_OFF
would you deactivate light,LIGHT_OFF
hey power off kitchen led please,LIGHT_OFF
stop bathroom led please,LIGHT_OFF
hey turn on bedroom lamp for me,LIGHT_ON
could you power on led,LIGHT_ON
would you switch on hall lights please,LIGHT_ON
would you enable garage led please,LIGHT_ON
switch off office lights right now,LIGHT_OFF
could you power off living room light,LIGHT_OFF
would you disable bedroom lights for me,LIGHT_OFF
start living room led right now,LIGHT_ON
would you switch on kitchen lights,LIGHT_ON
please power on garage lamp for me,LIGHT_ON
hey power on bedroom lights please,LIGHT_ON
could you activate hall light please,LIGHT_ON
can you enable lights,LIGHT_ON
would you deactivate office lamp please,LIGHT_OFF
could you enable garage lights please,LIGHT_ON
could you activate living room lamp right now,LIGHT_ON
would you switch off bedroom lamp please,LIGHT_OFF
would you deactivate bedroom lights,LIGHT_OFF
hey deactivate bedroom lights,LIGHT_OFF
power off garage led,LIGHT_OFF
please stop kitchen lamp for me,LIGHT_OFF
hey deactivate bedroom lights right now,LIGHT_OFF
switch off lights right now,LIGHT_OFF
turn off hall light please,LIGHT_OFF
please enable bathroom light please,LIGHT_ON
please power off hall light,LIGHT_OFF
would you enable bathroom led for me,LIGHT_ON
enable kitchen led right now,LIGHT_ON
would you switch on bathroom light for me,LIGHT_ON
power off kitchen light,LIGHT_OFF
could you power off hall light please,LIGHT_OFF
power off office lights please,LIGHT_OFF
hey deactivate office light,LIGHT_OFF
enable bedroom led,LIGHT_ON
stop bedroom lights please,LIGHT_OFF
hey enable bathroom lamp please,LIGHT_ON
hey deactivate bedroom led for me,LIGHT_OFF
could you disable garage light please,LIGHT_OFF
can you turn on bathroom light,LIGHT_ON
could you turn off bathroom lights for me,LIGHT_OFF
please power off kitchen led right now,LIGHT_OFF
could you switch on office lights for me,LIGHT_ON
disable living room light right now,LIGHT_OFF
please turn on kitchen light right now,LIGHT_ON
hey deactivate hall lamp for me,LIGHT_OFF
could you stop garage lights,LIGHT_OFF
power on kitchen led right now,LIGHT_ON
start living room lights right now,LIGHT_ON
could you switch on hall lights,LIGHT_ON
please deactivate lamp,LIGHT_OFF
power off bathroom lights,LIGHT_OFF
could you disable bathroom light please,LIGHT_OFF
power off hall light right now,LIGHT_OFF
can you stop office light right now,LIGHT_OFF
activate led,LIGHT_ON
can you disable living room lights for me,LIGHT_OFF
could you activate bedroom lamp right now,LIGHT_ON
please switch off kitchen light for me,LIGHT_OFF
enable garage light for me,LIGHT_ON
would you turn off hall light please,LIGHT_OFF
can you power off living room led for me,LIGHT_OFF
would you activate garage light right now,LIGHT_ON
would you activate kitchen led right now,LIGHT_ON
hey stop lights right now,LIGHT_OFF
hey turn off lights for me,LIGHT_OFF
could you disable hall lamp please,LIGHT_OFF
hey turn off hall led right now,LIGHT_OFF
hey power on garage led please,LIGHT_ON
can you turn on hall lamp for me,LIGHT_ON
hey power on kitchen light please,LIGHT_ON
would you activate garage lights please,LIGHT_ON
would you enable office lamp please,LIGHT_ON
can you activate hall lights for me,LIGHT_ON
can you power on bedroom lights right now,LIGHT_ON
please activate lights,LIGHT_ON
can you switch on bedroom light please,LIGHT_ON
please disable bedroom lamp please,LIGHT_OFF
please deactivate bathroom led for me,LIGHT_OFF
please power off bathroom led please,LIGHT_OFF
please switch on kitchen lights,LIGHT_ON
hey switch on led please,LIGHT_ON
turn on bathroom light please,LIGHT_ON
activate garage lamp,LIGHT_ON
please power on bedroom light for me,LIGHT_ON
would you switch off office lights please,LIGHT_OFF
could you power off living room lamp please,LIGHT_OFF
could you deactivate kitchen light right now,LIGHT_OFF
hey power on garage lamp please,LIGHT_ON
could you power off living room lamp right now,LIGHT_OFF
please turn on office led please,LIGHT_ON
please enable living room lamp please,LIGHT_ON
please switch off kitchen lamp for me,LIGHT_OFF
activate living room led please,LIGHT_ON
can you power on garage lamp please,LIGHT_ON
could you start living room led,LIGHT_ON
could you deactivate kitchen lights right now,LIGHT_OFF
hey switch on bathroom light for me,LIGHT_ON
please disable bedroom lights,LIGHT_OFF
power on bathroom light for me,LIGHT_ON
would you turn on led please,LIGHT_ON
can you activate lamp for me,LIGHT_ON
could you stop kitchen lights for me,LIGHT_OFF
switch on office lamp right now,LIGHT_ON
turn on kitchen lights,LIGHT_ON
please switch on office lamp please,LIGHT_ON
activate bathroom lamp for me,LIGHT_ON
please disable hall light,LIGHT_OFF
hey turn on living room led for me,LIGHT_ON
please power on garage led for me,LIGHT_ON
would you enable bedroom light,LIGHT_ON
would you stop bedroom lights,LIGHT_OFF
please disable bathroom led please,LIGHT_OFF
would you start living room lamp please,LIGHT_ON
would you disable bathroom lights please,LIGHT_OFF
would you deactivate office light,LIGHT_OFF
enable bedroom lamp please,LIGHT_ON
could you enable bedroom lights,LIGHT_ON
power on office light please,LIGHT_ON
hey switch on living room light for me,LIGHT_ON
turn on kitchen lamp for me,LIGHT_ON
deactivate lamp please,LIGHT_OFF
enable bedroom led please,LIGHT_ON
could you activate bathroom led please,LIGHT_ON
hey start office lights right now,LIGHT_ON
hey power off kitchen light,LIGHT_OFF
hey switch on bedroom led please,LIGHT_ON
disable hall led please,LIGHT_OFF
hey start living room lamp for me,LIGHT_ON
can you stop bathroom light for me,LIGHT_OFF
please enable living room led,LIGHT_ON
please power on bedroom lamp for me,LIGHT_ON
please stop bathroom lights please,LIGHT_OFF
would you switch off living room light please,LIGHT_OFF
would you deactivate hall lamp please,LIGHT_OFF
can you enable office light please,LIGHT_ON
could you turn on led please,LIGHT_ON
hey disable bathroom led,LIGHT_OFF
power on garage led please,LIGHT_ON
hey stop garage led,LIGHT_OFF
hey activate office light please,LIGHT_ON
would you power off bathroom led,LIGHT_OFF
switch on bedroom lamp for me,LIGHT_ON
would you start office lights please,LIGHT_ON
hey enable garage lights right now,LIGHT_ON
can you switch on bathroom led for me,LIGHT_ON
stop office led please,LIGHT_OFF
can you switch off hall lamp please,LIGHT_OFF
hey power on office led for me,LIGHT_ON
power off bathroom lamp for me,LIGHT_OFF
hey switch off living room led right now,LIGHT_OFF
power off garage lights for me,LIGHT_OFF
could you power on lamp,LIGHT_ON
switch off bathroom led,LIGHT_OFF
hey turn off kitchen led for me,LIGHT_OFF
can you deactivate light please,LIGHT_OFF
can you deactivate kitchen lamp right now,LIGHT_OFF
would you power on bathroom led for me,LIGHT_ON
could you activate office light please,LIGHT_ON
hey disable bedroom lamp please,LIGHT_OFF
can you switch on living room light for me,LIGHT_ON
please switch off light please,LIGHT_OFF
would you turn off hall lamp,LIGHT_OFF
hey power off bedroom led please,LIGHT_OFF
can you deactivate garage led please,LIGHT_OFF
hey power off kitchen led right now,LIGHT_OFF
power on hall led for me,LIGHT_ON
would you power on hall light for me,LIGHT_ON
could you stop led please,LIGHT_OFF
hey deactivate bedroom led please,LIGHT_OFF
would you switch off led right now,LIGHT_OFF
please deactivate bathroom light please,LIGHT_OFF
activate kitchen light right now,LIGHT_ON
could you start garage lamp right now,LIGHT_ON
would you deactivate bedroom light right now,LIGHT_OFF
can you deactivate led please,LIGHT_OFF
would you disable bedroom lamp for me,LIGHT_OFF
would you turn on garage led please,LIGHT_ON
would you stop bedroom lamp,LIGHT_OFF
please switch on office lights please,LIGHT_ON
could you start bathroom lights right now,LIGHT_ON
could you activate kitchen led right now,LIGHT_ON
deactivate lights right now,LIGHT_OFF
can you enable kitchen light right now,LIGHT_ON
can you turn on kitchen led right now,LIGHT_ON
would you power on kitchen lamp for me,LIGHT_ON
could you turn off bathroom led,LIGHT_OFF
would you stop living room lamp right now,LIGHT_OFF
hey turn on bedroom led for me,LIGHT_ON
please stop living room lamp please,LIGHT_OFF
would you switch on bedroom led for me,LIGHT_ON
would you turn on bedroom led,LIGHT_ON
would you turn off office led please,LIGHT_OFF
would you power off light,LIGHT_OFF
could you disable hall lights,LIGHT_OFF
would you turn on kitchen lamp please,LIGHT_ON
would you deactivate bathroom light,LIGHT_OFF
please activate hall led please,LIGHT_ON
please enable office lamp for me,LIGHT_ON
switch off kitchen led for me,LIGHT_OFF
please turn on bathroom lights,LIGHT_ON
would you activate garage lamp please,LIGHT_ON
would you turn on living room light for me,LIGHT_ON
hey deactivate office lights please,LIGHT_OFF
please stop living room led right now,LIGHT_OFF
would you switch on bedroom lights for me,LIGHT_ON
hey stop bedroom light for me,LIGHT_OFF
please disable garage lights for me,LIGHT_OFF
can you switch off bathroom led for me,LIGHT_OFF
would you switch on bedroom light please,LIGHT_ON
can you deactivate garage lights right now,LIGHT_OFF
could you enable living room light right now,LIGHT_ON
would you power on office lamp please,LIGHT_ON
hey stop garage lamp right now,LIGHT_OFF
please start kitchen light right now,LIGHT_ON
can you power off led for me,LIGHT_OFF
hey turn off hall led please,LIGHT_OFF
can you switch on bedroom lights for me,LIGHT_ON
could you stop kitchen light right now,LIGHT_OFF
can you enable bedroom led,LIGHT_ON
turn on garage lights for me,LIGHT_ON
could you stop kitchen lamp for me,LIGHT_OFF
hey power on bathroom led for me,LIGHT_ON
start bathroom light for me,LIGHT_ON
hey power on living room led please,LIGHT_ON
hey deactivate living room led for me,LIGHT_OFF
could you deactivate kitchen lights for me,LIGHT_OFF
can you start lights right now,LIGHT_ON
can you turn off hall lamp right now,LIGHT_OFF
would you power off kitchen lamp right now,LIGHT_OFF
turn off garage light please,LIGHT_OFF
can you deactivate kitchen led right now,LIGHT_OFF
could you deactivate bedroom lamp,LIGHT_OFF
stop bedroom lamp right now,LIGHT_OFF
please turn off office light,LIGHT_OFF
can you turn on living room lamp for me,LIGHT_ON
would you enable garage led for me,LIGHT_ON
hey start office lights,LIGHT_ON
please start bathroom light right now,LIGHT_ON
would you disable bathroom light right now,LIGHT_OFF
please who are you,UNKNOWN
who are you,UNKNOWN
please switch off lamp right now,LIGHT_OFF
hey power off garage light,LIGHT_OFF
stop bathroom lamp please,LIGHT_OFF
could you enable office light,LIGHT_ON
hey switch off bathroom lights,LIGHT_OFF
can you disable garage lamp for me,LIGHT_OFF
would you stop garage lamp for me,LIGHT_OFF
would you enable office light right now,LIGHT_ON
hey switch off bathroom led right now,LIGHT_OFF
please activate light for me,LIGHT_ON
please stop lamp please,LIGHT_OFF
can you deactivate living room lights please,LIGHT_OFF
would you turn off hall lights please,LIGHT_OFF
please deactivate hall led please,LIGHT_OFF
could you start kitchen lights right now,LIGHT_ON
can you turn off kitchen lamp please,LIGHT_OFF
would you power on living room lights right now,LIGHT_ON
start garage led please,LIGHT_ON
please activate lights please,LIGHT_ON
could you stop living room led,LIGHT_OFF
switch off living room lights please,LIGHT_OFF
can you enable bedroom led right now,LIGHT_ON
could you switch off garage lights right now,LIGHT_OFF
power on kitchen led please,LIGHT_ON
turn on living room lights,LIGHT_ON
deactivate bedroom led for me,LIGHT_OFF
hey start hall led please,LIGHT_ON
hey disable living room light please,LIGHT_OFF
hey activate led right now,LIGHT_ON
can you enable garage lamp please,LIGHT_ON
can you activate living room led for me,LIGHT_ON
could you turn off kitchen lights right now,LIGHT_OFF
please enable office light right now,LIGHT_ON
turn off living room lights please,LIGHT_OFF
please disable garage lamp please,LIGHT_OFF
hey stop kitchen lights for me,LIGHT_OFF
would you turn on living room lamp please,LIGHT_ON
hey activate garage led right now,LIGHT_ON
stop office lights right now,LIGHT_OFF
please turn on garage light please,LIGHT_ON
would you start living room light right now,LIGHT_ON
would you turn on hall lamp,LIGHT_ON
deactivate hall lights,LIGHT_OFF
could you deactivate bathroom light for me,LIGHT_OFF
power on bedroom lights right now,LIGHT_ON
please deactivate bedroom light,LIGHT_OFF
deactivate hall lamp please,LIGHT_OFF
can you turn off office light right now,LIGHT_OFF
would you switch on lights,LIGHT_ON
please disable garage light right now,LIGHT_OFF
would you power on kitchen lamp,LIGHT_ON
power on bedroom lights for me,LIGHT_ON
would you activate hall lights right now,LIGHT_ON
hey switch off hall lights,LIGHT_OFF
can you power off bedroom led for me,LIGHT_OFF
can you activate hall light for me,LIGHT_ON
stop office lights please,LIGHT_OFF
can you activate hall led,LIGHT_ON
can you disable lamp right now,LIGHT_OFF
please turn off light for me,LIGHT_OFF
can you turn on lamp please,LIGHT_ON
please enable kitchen led for me,LIGHT_ON
can you stop office lights,LIGHT_OFF
please switch off hall lamp please,LIGHT_OFF
can you enable lights right now,LIGHT_ON
can you disable hall lamp,LIGHT_OFF
can you turn on hall light please,LIGHT_ON
hey turn off bathroom led,LIGHT_OFF
disable hall light please,LIGHT_OFF
would you switch on lamp for me,LIGHT_ON
can you stop living room lamp,LIGHT_OFF
start living room lamp for me,LIGHT_ON
would you enable bedroom light please,LIGHT_ON
